,x_test,future
14,"[ 78 141 155 141 111 124 107 163 158 124  88  88  11 124  88  27  88  29
 124 111 106 142 124  78  78  11 124  78 141  78 106 124]",[163 158 124  88  88  11 124  88]
15,"[117  52 111 131   3  83   2  30  69 134  30  69 163 157 135 111 145   2
  17 140 106  96  91 107  96 107 163  11  39 135   8 150]",[123 156  36  73 133 145 156  36]
16,"[  8 123  39  18  36  84 123  91  39  84  39 129  84  39  71  71  19  39
  74  39  71  10  71  10  17  99  85  95  17  69 123  17]",[ 17 123  17  84 123  84 123  84]
17,"[172  91 111 117  62  91 108 115  91 145 111  91  11 115  91 130  62  13
  69 155  27  69 141  88  84 163 141  27 155  13 143 140]",[117   2 135 145  11 130  11 145]
18,"[127   5 171 171 171  60   5 171 171 171   5 171 171 171 127   5 171 171
 171  60 171 171 171 171   5 171 127 171 171 159   5 171]",[127 171 171 171 159   5 171 127]
19,"[ 68  72  68  71  68  71  68  71 157 157 157  52  66  92  26 147  48  61
  48   3   3 106 162 130 167   4 146 145  62 135  96  87]",[ 24  90  24  90  24  90 121  94]
20,"[ 98 106 111 163 111 152  45 111  62  62 111  62 167 111 152  45 111  62
  62 111  62 167 111 152  45 111  62  62 111  62 167 111]",[111  62  62 111  62 167 111 107]
21,"[122  56  56  56  59  96 119   8   8 121   8  61 119   8   8   8 119   8
  40  19 162  80  45  16   6   6  34   6  60 129  97  50]",[109 127  16   6  16   6 168   6]
22,"[108 149   4 112  12 172  43   7 128 120  68 128 120  75 128 141  41   0
  51 149   0  59  51   0 149  51 151  12 120 128   7 120]",[128 120  75 128 141  41   0  51]
23,"[151  34 120  45   0  11  13 108   0  11  13 108 151 111 120  45 151 111
 120  45 141   4  51 117 141   4  51 117 128  45  29   0]",[  4  13 145 108 172 145 108 141]
24,"[161  47  39  72 119 100   8  47  50  52 109  47  84  40   7  99  58  48
  48  56  72 167 100 161  47  39 131 119   8  52  50 109]",[ 47  47  43 135 167 108 130 108]
25,"[120  78  34 100   8  96 146  96   8  34  62  47  34   3   8  96 146  96
  53   8  34  62  34 165   8  96 146  96  53   8  34  62]",[165   8  96 146  96  61   8  96]
26,"[ 19 171   8  27  74  78  78 128  38  38  27  74  78  78  27  63 120 120
  27  88  88  27 128 128  41  88  88  41 128 128  73  73]",[ 88  73  73 128 128 121 165  27]
27,"[ 91  75 107  29 108  29 107  29 107  29 108  29 107  91 125 163  11 106
  43  11 106 108 162 106  34  11 106 111 117  70 111  29]",[ 29 111  29 111  29 145  29 111]
28,"[ 94 162  94 162  94 162  94 145  11 162  11  94 145  11 162 130 103  11
 145  17 162  94  11 145  17 162  94 145  11 162  11  94]",[ 11 162  90 103 135 157 162  94]
29,"[ 43 145  11  32 145  91 135  11  62 135 140  43  11  62  43 140  43  11
  62  43 140  43  11  39  43 143  91 130  39  91 140  43]",[162  43 140 135   4 162 135 140]
30,"[ 27 107  45  29  45  29 130   0   4 130  29 128 106  29  11  29  11   4
 141 108   4  11 112  29  13  51  13  51   0 149  45 145]",[ 52 160  45  29  45  29 130 112]
31,"[  6  10  59  59   7  10   7  10  59  70  97  70  45  97  45  10  59 126
   7  10   7  10  59  70  97  70  45  97  45  70 126  70]",[ 41 125  41 107 125 107  41 160]
32,"[ 17   3  19 147  19 147   3  17  19  17  19 134   3  71  19  71  19 147
   3  17  19  17  19  62 114 167 114 167 147 163  94 162]",[162  90   6  61   8  61   8  17]
33,"[135 146 108 163 135 146  43 115 135 146  43 115 172  96 106  34 145  62
  43 162 140 109 155  32 128  19  78  50  93  37 101  23]",[ 76  76  23  23 171 125   8 109]
34,"[135 109  73 145  73 145   4   8 145 135  43  91 140 143  51 155   0  27
 128  78  19 165 120  88 165  88 128  32 158  93  53  54]",[ 78  88 128  27  53 155  51 143]
35,"[115   4 146  76   6  96   8 146 171 146 171 121  50  85 113 121  50 146
 100 115 144  96  48  76  31  96  48 146 100  64 146  23]",[171  64 109 146   6 162  74   6]
36,"[ 32 108 145  11  92  29 106 107  34 106  11  32 108 145  11  92  29 106
 107  34 106  11  32 108 145  11  92  29 106 107  34 106]",[108  43 108  43 140  43 140 112]
37,"[ 91 140  43 145  37  43 155  43 145  32  43 140  51  43   4 109  43  91
 143 145 130  39 145  43 143 145 130 167 145  43 140 145]",[ 62 145  43 140   4 106  34   4]
38,"[117  91 172 112 143  51 144 160  72 103 144 160  72 103 144 160  34 159
  45  29 130   4 108 117  43 172 112  13 100  60 131  79]",[ 60 131  79 100  60  61 135 172]
39,"[ 14  14  13  46  86  86  51  60 127 127   0  83  51  68  14  14  13  81
  76  76  13  81  76  76  76  76  76  13   2  51  68  60]",[112  97 111  60  60  51  60 115]
40,"[156  52 145  52 156 144 107  29 108  91 112   0  88 126 144  72  68  72
  72 144 107  29 108  91 112   0  88 126 144  72  68  72]",[144 107  29 108  91 112   0  88]
41,"[ 97 117  14 172  43  97 117  97 108   7 117 109  43 172 109 112  13  81
 112   6  13  51   6   0 141  10 141 146 141 146  10 146]",[117  10 117 146 117 146 117  10]
42,"[ 46 131  46  60  10  60  10  60  10  10  80  31  57  46  57  46 131  46
 110  46 131  46 153  10 153  10  60  16  98   6  60 111]",[111  57  46  57  46 148  46 148]
43,"[ 91  39  27  91  27  88  84 117  39 155 117 155 141  71 145  39 143 145
 143 155  85 135  39  91 135  91  27  17  13  39  88  13]",[124  84 143  39 141 143 141  38]
44,"[140  62  34 106 155 128  62  34 106 128  78 146  96 106  78  93 167  62
  34  93 158 167  62  45 158 162  62 106 162 146 106  93]",[ 34 106  62  34 106  54  93  62]
45,"[ 90  31 167  96  45 130 135 172  59  48  59  59 105 144 144 105 144  90
 100   1  58   1  25  47 167  96  45 130 135 172  59  48]",[ 59 105 144 144 105 144  90 100]
46,"[ 43  73 135 145  39  85 109 145  85  91   8  17 135  39  17  11   8  17
 145  39 135  17  91  98  85 117  39 135  85 145  98  85]",[ 39 117  85  91   8 140  91  17]
47,"[ 26 100  84  28 100  84 100  28  48  41  41  48 144 167  58  47   9   3
  31 103  48  20 144  59 100 121   3 109 167 115  31   8]",[  6  58 167 115 103  48  48  48]
48,"[107  96  11 161 107  96 130 107  62 130 107  62 107 102  96 163  11 107
  96 130   8 107  96 106  98 111 163 140  32  11 106 117]",[ 98 106 111 117  39  11 107 135]
49,"[ 96   8  34 109  45   6  29  97  62  32  29  97 115 125 130 167  65  42
  65  42  65  42  65  42 130 153 167  60   9   9  34 109]",[  6  29  97 130 167   4 146 108]
50,"[167 117   4 111 171   4 171 111   4 171 117 171   4  45 171 117  45 117
 167 172 117  45 146 117  45 117 130 172 117   4 146 117]",[117 130  51 117 117 146  51 117]
51,"[109  32 162 121  32   8 162  73  32 109 162  94  39  32 162  20   6  32
 162 162 162 162 162  94  32  39  73 109  94  39  19 162]",[ 39  19 162  94  39  19 162  73]
52,"[ 43 108  31  11  31  34 115 163 115  34  11 108  43  13   0 124 150 150
  91 107  91 107 139 139  91 107  91 107 150 150  91 107]",[107 139 139  91 107  91 107 150]
53,"[ 12  20  12  10  12 171 171 171 171 171 149  45  32 171 171 171 171 106
 171  45 171 171 171 171 171 171  20 102 102 102 102 102]",[102   9 102 102 102 102 102 102]
54,"[163 157 135 111 145  26  90 140  48 172  61 103 156  69 123 134  98 135
 149  39 145 154 123  17 168  76  34  80   6  80 107  39]",[ 45  80  98  80 107 125 139  80]
55,"[  4   4   4 172 172 172 172  86 108 108 108 108 140 140 140  86   6 115
  62 115 106 106 106  86  16 125  32 125   4 146 172  45]",[107 172  45 135  96 108 115   4]
56,"[ 45 115  45 115  45  11  45 115 108 161 115 107  29 107 115 117 113 161
  45 113  29 161 113 145 161 113  29  21  45 113 172  21]",[ 29 117  29  45  29  45  29  91]
57,"[ 98 111  45 163  11  45  98 111  45 146   4 107   8  96 107 146   4 107
   8  96 107 163  11  11  98  45  11 163 172  11   6  45]",[163 117   4  39  11  29 146 117]
58,"[164  52  52  52  52 164 144 144 144 144 144 144 140 144  43 108  11 106
  34 115 163 162 109 162 163 115  34 144 106  11 144 108]",[140 144  43 108  11 106  34 115]
59,"[ 27  91  88  27  51 112  27  51  27  91  88  27  51 140  27  51  91  27
 140  78  27  91  51 140  27  51  27  91  78  27  51 140]",[ 51  27  91  78  27 155 140 128]
60,"[ 83   2  83  29  43  17 140  28  17  49 133 135 140 123  13   1 123 106
  83  11  70  83 157  83 106  83  11  66  83 157  83 157]",[ 34  28  17  28  17 157  83  28]
61,"[107  11  17 135  91  83 107  11  63 135 172  45 130 143 135 172  45 130
 135 172  48  45 130  48 135 172  47  45 130 131 135 140]",[ 11   3 135 140 106  11 135 140]
62,"[ 99  96 107  11  99  62 107 145  26  62 107 130  26 163 107  11  48 163
 107  11 155 111  11 145 141 106  11 117  27 107  11 135]",[107 130 145  13  17 107  11 135]
63,"[109 143 140  73  91  43  32  91  43  73 135 145  39  85 109 145  85  91
   8  22 135 171  22   4 109  41  58 129  48   7  48  56]",[167 100 161  47  39  72 119 100]
64,"[157  58   0  13 140 108  11  58 106  58 115 163 162 163 115 106  11 108
 140  13   0 168  31 168  31 168  31 168  31 168  31 168]",[ 80  31 128   0  13  43 108  31]
65,"[ 11   2 130 106  98 130  32 145 130  85 145  45  63 130 106 157  11 135
 140  13 155  27 162  27 147 141  27 162 141 147  27  27]",[141  27 147  27 162   0  78 168]
66,"[ 45 115 167   6 131 103   9 100  74  46  74 144  48 144  35  72  52  10
 144   9  68   9  26  58  31  74   3  80   9   3  80   3]",[131  20 144  20 131 144  31  85]
67,"[ 13  91 108 108  91 108  11  11 108  11 107  85 156   0 102  88   0  13
  13 139   0  13  91  91  13  91 108 108  91 108  11  11]",[ 11 107  85 156  80 139 138 138]
68,"[171   6 146   6 111  43 117 108 102   6  43 115   6 140  34  45 172 171
   6 111   6 117 146  45 172 102   6 163   6  43 115 117]",[171   6 146   6 111  43 117 108]
69,"[  9   9 113  98   9   9   8  98   9 102   9  98   9  19   9  98   9   9
 113  98   9   9   8  98   9 102   9  98   9  19   9  98]",[  9 113  98   9   9   8  98   9]
70,"[ 46  23 153 140  51  27  82 141  79  79  53  79  20  79 140  43 145   4
  96  45   4 130  11 121 121 165 121  74  94 140  51  27]",[141  79  79  53  79 145  43 140]
71,"[115 161 107  11 163 115  50 106  11 163  62 140 106  11 163  62 106  11
 140 163  62 143 106  11  13 163  62 143 107 130 167  62]",[107 130 167  62 107 130 140 167]
72,"[119  41 171 119 171  41  74  74  25  41  25  41  74 126 160 125 160 146
 125 146  41  74  25  41  25  41  74 126 160 125 160 146]",[146  41  74  25  41  25  41  74]
73,"[ 66 111  55  97  34 115  55  34  97  45 111  45 114 167  45 111 114  45
 166 163  45 111 166  45 127 146  45 111  45 172 146  45]",[ 45  62  45 111  43  45 117 146]
74,"[ 42 171  42 100  42 100  42 100 144  65  26 159  40 159  40  29 130 146
  58  29  45 146  52  29  45  34 153  60 153  60   4 108]",[ 26 117 108   4  45 108  26 117]
75,"[ 91  84 135  91 107  11 135  91 107  11 135  91 107  11  84  17  91 156
 149  91 123  17  91 107  11 135  91 107  11 135  91  27]",[ 11 155 135  91  13 107  11 140]
76,"[  0  51 149 143 112  12 172  51   7  41 112  51   7 112  51  41 112 172
 149 112 143  12   0  51 149 143 112  12 172  43   7 172]",[ 43 172  75  43 117  41 108   4]
77,"[ 38  79  53  78  78  74  44  78  78  91 112 112  91 140 140  74 112 112
  74 140 140  83  83 112 112  83  83 140 140  17  69  91]",[ 85  18  91  91  75 108  88  88]
78,"[ 19 121  32  22 130  37  19 106  32 145  82  37  19   4  32  43  22  37
  19 135  32  22 143  37  19 140  32  82 155  37  19  51]",[ 22 128  37  19  27  32  22  38]
79,"[153  26 153 153  26 153   7  41   7  41   7  41   7  41   7  41 169  41
 169  10 100  10 100  10 100  60 153  60 153  26 153 153]",[153  40  41  40  41  40  41  40]
80,"[  4 146 117   4   4  29 135   4 107 135  29  91 135 107   4  45 117   4
 117   6 172 117  45  34 108  45 108 115  43 108  45 111]",[ 45   4   6 117   4  45 115  11]
81,"[112  29 172 130 164 125 108 115  21   0 125 143  45 172 130 143  45 172
 130 143  45 172 130 143  45 172 130 143  45 172 130 143]",[172 130  59 167 130 146  59 167]
82,"[ 98 162  98 145 129  98  97  98 108 129  98 163  98 117 129  98  62  98
 129  98  62  98 129  98  62  98 108 129  98 145  97  98]",[129  39 115  39  91 129  39 115]
83,"[ 97  34 115  34  66  97 111  62 111  55  97  34 115  34  97  45 111  45
 114 167  45 111  45 166 163  45 111  45 127 146  45 111]",[172 146  45 111  45  62 140  45]
84,"[140  34   4  51   8 146 106 146 140  96 172 145   8  96 141 130  96  27
  45 135 155 162  96 106  96  51   4 130 172 171 146 155]",[146  51  45 143   4 109 146  34]
85,"[161  39  39 161  39  39 150 161  39  39  84 123  84 123  84 123  84 123
  84 123  84 123 160 123 135  11 107  96 107  11 135  91]",[100  72  34 109 107  39  62  32]
86,"[159  77 159  77 159  77 159   1  34 109  41  25  25  45   6 130 167  29
  97  45   6 145  62   4 146 130 167   4 146 112  34 172]",[ 43  29  51 146 143 111 112  34]
87,"[ 96 146  96   8  34  62  43  34 135   8  96 146  96 140 143   8 140  34
 143 140  62 143 172 140  34 100   8  96 146  96   8  34]",[ 47  34   3   8  96 146  96  43]
88,"[125   6 107 146 107 108 125  16 125  97  45 163  45  11  11   6 108 163
 172 115  13  45  13  45  11 172 111  11  91  96  11  43]",[ 11 117 146 111   4 117   6 171]
89,"[ 48   4  85  72 145 127  56 117 167 127  56 117 167  40  19  43 162  40
  19  43 162 105  16 143   6 105  16 143   6 149   5 143]",[149   5 143 171  34  58  43   4]
90,"[117  59 135 135  96 117 135  59 117 135 157 135  96 117 135 157 135  85
 135  63 135 154 135 170 135 150 135 117 162 135 135 147]",[135 162 117 135 147 135 162 117]
91,"[ 74  78  78 128  38  38  27  74  78  78  27  63 120 120  27  88  88  27
 128 128  41  88  88  41 128 128  73  73  88  88  73  73]",[128 121 165  27  27  59  63  27]
92,"[112  91  91 112  91 108 108  91 108  29  71 126 160 160 126 126 126 138
  28  24  68 128 125 151 128   0   0  55 128   0 112 112]",[112  43  43 112  43 108 108  43]
93,"[117  98  45  16 172   6  45  16 172   6   4 171  51 146   4 171  51 146
 117  98 141 111 117  98 141 111 172   6 120  45 172   6]",[ 45  51 146  54   4  51 146  54]
94,"[ 96 106   4 135  96 106  74 121 135  90  24 135  94 121 135  96 106   4
 135  96 106   4 135  96 106 121   4 135  85 145 135  74]",[135  96 106   4 135  96 106   4]
95,"[ 97  51  22  29  51  22  29  51 156 130 155 156 167  51 156 167 143 133
  62 140   8 133  32 140 171 133  32 140  36  39 143  19]",[161 143  50  36 161 155  36 145]
96,"[  7 120   7 128 128   7   7 128  51   7 151  51 151   7  54 151  51   7
 151   7  51 151   7  54   7 151 112  58 128 112 128   7]",[128 112   7 128   7 112 128   7]
97,"[121 165 121 165 121 165 121 165 121 165 121 165 121 165 121 165   3  53
 165  63 165 100  63 165  53  90  53  53  96  53  53 170]",[118 170  33 170  72  33 170 118]
98,"[ 68 128 125 151 128   0   0  55 128   0 112 112   0 112  43  43 112  43
 108 108  43 108  29  71 126 128 125 151 128   0   0  55]",[  0 112 112   0 112  43  43 112]
99,"[145  11  92  29 106 107  34 106  11  32 108 145  11  92  29 106 107  34
 106  11 108  43 108  43 140  43 140 112  13  62   0 155]",[ 92 112 140  91  43 140  13  62]
100,"[ 45  11  81 172  43 108   4  60  10 127 146 111 146 111  10  29  45 111
 146   7 146 169 163  76 115  34 115  34 169  29  45  34]",[ 14 111 127 146 127 167 111 167]
101,"[109  79 140 162  44  79 170  84 106 171 162  79  32 121  94  79  73  74
   3  79  73  22  94  79  73  74   3  79  73  22  94  79]",[ 74  19 162  79  32 146 106   8]
102,"[145  11 145 130  59  11 106 102 162 130 106  45 106  29 107 171 106 107
  34 107 106 111  56 107 111  96 111 107  96 171 111  96]",[ 96 111  62  98 111  62   2 111]
103,"[ 83 106  11  63 135 172  45 130 143 135 172  45 130 135 172  48  45 130
  48 135 172  47  45 130 131 135 140 106  11   3 135 140]",[ 11 135 140  27 106  11  27 135]
104,"[172 143  27 140 165  27  51 140 135   4 106 165   4 135   4  44 135 140
 140  53 128 155 140  43 145 106  53 145  43 145  20  43]",[140 165  78  27  51 140 135   4]
105,"[111  91  17  96  91 157  98  62  13 157 162  13 157 167  13  62  17  39
 163  91  17 167  91  17 163  91 149  62  91 149  91 149]",[ 91  69  17 107 117 135  17 145]
106,"[ 53  79 145  43 140 155 128  78  93 140 172 172  43 135 135 145   4  96
  45   4 130  11 121 121 165 121  74  94 162  97  39  97]",[162  29  97 107  39  29  97  74]
107,"[107  45  29   4 166 166 166 166 166 166  28 131  69 100 131 166 166  14
  14  17 123  17 123 166  26  26  26  60  68  52   4 100]",[144  75  80  45  46  29  11   4]
108,"[159 109 159 109 170 167 170 167 116  35 116  35  49 105 103  90 172 140
 172 135   4  43 135   4  45  45  74   6  80 162  76   6]",[ 16  76   6  59 135   6 108 162]
109,"[ 32 128  79  32 128  22 162  27  22 167  27 146  22  62  27  96  79  62
 128  79  62 128  79  62 128  22 106  27  22 130  27   4]",[145  27 135  79 145 128  79 145]
110,"[116 159 159 159 159  43 130 125  56  34 109 108 167 130 125  34 109 108
 167  29 171  34 109   4  97  43   4   8  56  34 109 135]",[  4   8  34 109 135 146 130 125]
111,"[117  39  11 107 135 163  11 107 135 163  11 107 135  39 107 111 145 167
 107 111 145 167 107 111 135 102  91 135  11  11 135  11]",[ 11 117  98 140 117  11  11  30]
112,"[172 117 145 130  45 111  62 120 111  38  45 120 111 141  62 155 167 143
   6 172  98 117  32 172  98 143   6 172  98 117  32 145]",[130  16  45 113 111  37  45 113]
113,"[ 34  11  20 106  45  34  11 106  45  34   0 144  54 124  78 144 120 128
 144  27   0 144  51  13 140 172 144  43 135 144 108   4]",[107  45  58 146   4  48 107  45]
114,"[ 94  74  94  94 100 121  48  94 100 121   3 106  31 121  58 165  48  53
  72  53  73  20  73  62  94 121  20  73  20  32 162  62]",[94 20 73 20 73 73 58 79]
115,"[ 79  20  79 168 116 136 116 136 116 136 103 103  45  96 130 135 103 172
 143 103  27 127  65 127  65 127  65   7   7  29  34   4]",[  7 112  51   7 128  99  99  58]
116,"[ 19 119  74  19 171   8  27  74  78  78 128  38  38  27  74  78  78  27
  63 120 120  27  88  88  27 128 128  41  88  88  41 128]",[ 73  73  88  88  73  73 128 128]
117,"[166  83 166  83 166  51 137  74  15  13  15  17  15  17  15  17  15 117
 113 166 166 166 166 166 166 166 166 166 166 166 166 166]",[ 11 166  10 166  11 166  10 166]
118,"[ 79  48 162  74  72  32  79  43 109  43  79  43  43 162  43  79  43  43
  97 135  43  87  91  43 116  47 128  27 167   0 130   0]",[  0 130   0 167  27  38 130  78]
119,"[ 84  73  95  91  91 149 156 149 156 123  84  73  95 123  84  91  91 107
  84 107  84 106  95 107  84 157  95 107  84 107  84  84]",[150  95 123  69 123  69  41 129]
120,"[ 98 163   2 162 163  11 113 163   2 125 163   2  11  98 163   2 162 163
 108 132 115 125 115 109 115 162 115 145 132  62  68  32]",[ 11 111  98  62  29 111  97  62]
121,"[ 54  41 151  54 159 151 120  42 151  38  12  54  42  38 151  12 120  54
  41 159 151  54  41 151 128 159 141   0 105 128  38 116]",[120 116 128 141 105   0  51 159]
122,"[157  92 124  28 138 151  20  78  88  39  91 138 112 155  91  93  32 155
  78 124 155  93  39 155 138  88 151 155 157  92 124  28]",[151  20  78  88  39  91 138 112]
123,"[ 28 138 164  99 138  26  32  70  70  48  48  70  26  70  99  91  52  19
 134 134   3   3 134  72  26 134  26  16  48  48  19  99]",[ 44  72  32 134 165 134   2 117]
124,"[ 85  70  99  80 123  70  99  70  99 156  28  82 160  28 156  52  20  99
  36  99  36  17 123 149 156  17 123 149 156  17 123  99]",[ 17 123  85  99  17 123 149 156]
125,"[112  70  71 143   9   0 120 128 105   0 143 112   7 112  41 172 149 143
   0  51  12 143 117  43   7  34 109  29  97 108 115   4]",[ 29  97  34 109 153 149 153  12]
126,"[130  93 105 130  27 155 105  51 130 155 105 130  36 107 155  36  34 155
  36 107 155  36  96  27  36  34  27 107  36 106  27 130]",[107 155  36 106 155 107  36  34]
127,"[ 91 162 112  51 106  27 155 106  51 143  82  51 155 134 117 106 140 117
 106 140 117 106 140 135  29 172 117 106 140 117 106 140]",[106 140 155 167 117 172 111  45]
128,"[ 91 117  69 102  32   8  98  39 162 141 167  27 155  78  36  88  36 141
  27 123 155  13 143  96 140  91 117 156 135 145 140  36]",[117 135 102  39 145  11 130   8]
129,"[ 47  47 144  58  47  61  48 103  48 103  48 103  48 103  48 103  45  48
   9  48   9  45  48  74  48  23  48  25  48  25  48 159]",[159  48 159  48 159  48 159  48]
130,"[130  39 145  11 130  62  11 145 135  43  91 140 102  27 155  13  17 143
 140  91  43 135 145  32 140  91  43  91 140 143  13 155]",[ 39 140 143  13 150 155  27 128]
131,"[  6 107  39  45   6  29  97  11 163 117 146 146 115 146 115 146 115 111
  34 109  45   6  29  97 130 167  11 163   4 146  11 163]",[146  25  25 159  40  43  97 117]
132,"[172  43  45 145 167 135 135 146 106   4  96  43 172 162   4 135  96 140
 140  32 106 145  79  43 135  74  29 130  85 145   4   8]",[106 146 145 130   8  96  45  62]
133,"[135  96 135   2 135  96 117  59 135 135  96 117 135  59 117 135 157 135
  96 117 135 157 135  85 135  63 135 154 135 170 135 150]",[117 162 135 135 147 117 135 162]
134,"[ 32  38  78  88  53 128  27 155  51 143 140  53  91  43 135 109 145   4
 145  39 135  43  91 150 140 143  51 155  27 128 150  88]",[38 54  6 38 54 38 54 38]
135,"[163 130 167 106 162 107  39 111  98  96   8  62  32 163 102 167  56 163
 102  62  32  96   8 111  98 107  39 106 162 130 167  11]",[145  62 135  96 117 111  91 107]
136,"[162  94 147 162  94 135 163  69 135 163  69 135 163 117  91 150 117 117
 163 150 135 135 145 163 145 135 163 145  11 145 145 163]",[135 163  69  91  17 163  69  91]
137,"[ 52  70 111   3 113  98  26 162  98 144 163  98 131 115  98  52 129  62
  98  62  97  62  52  98  62   3 113 115  26   2 115 144]",[115 131   2 115  52 129  62  98]
138,"[ 45 166 163  45 111 166  45 127 146  45 111  45 172 146  45 111  45  62
  45 111  43  45 117 146  45 111  45 117 167  45 111 172]",[ 43 162 117  34  43 146 172 143]
139,"[117  11 106  11  91 161 143  91 145 145  18  91 145 130 145  91 102  13
  91 135 135  69  91 135  11 135  27 102  88  27  13  13]",[ 13  91  13 141  98  78 141  13]
140,"[ 36 145  26  26  26  26  26  26  26 141 155 143 172 117  26 145  26 130
  45 111  45 130 145 117 172 143 155 141  92  58  92  58]",[ 58  92  58  92  58  92  58 157]
141,"[ 76 108 172  13 146 171 115 125  96   8  34 109  45   6  29  97  11 163
   4 146 108 115 135  96  43  34 172  45 140 106 143 130]",[  4 155 145 143 130 172  45 117]
142,"[146  45 111  45  98   4  45  45 115  11  45  11   6 108  11  45 111   4
  45   4 146 117   4   4  29 135   4 107 135  29  91 135]",[  4  45 117   4 117   6 172 117]
143,"[ 96  15 102  39 163  39  96 157  91 102 162 163 162 111 117 102 162 140
 163 162 112 111 107 117  13 137 102  39 102  97  29 135]",[137 102  39 102 163 117  30  91]
144,"[ 29 124   2 142 124  78  78 124  78 141 141  78 141  13  13 141  13 140
 140  13 140 117 117 140 117  11  13  11 141  13 140 140]",[ 13 140 117 117 111 140 117  11]
145,"[107 123  80 107  99  85 107  39 167  62 107  39 167  62 107  39 167  71
  62 107  10 111 107 160 115 107  39 163 115 107  39 163]",[107  39 163 160 115 107 156 149]
146,"[163   4 146  11 163   4 146  25  25 159  40  43  97 117 146 108 167   4
  97 130 146  29  34   4  45 130  45 146   4 130 108 117]",[ 43  91 130 172  91   4 172  43]
147,"[ 69  91  84  88  13  69  88 155 150  88  91 163  88  27  69  91  91  69
  88  27  69  91  91 168  88  27  69  91  91  69  88  13]",[124  13 111  15 124  78  30  13]
148,"[107  11 135  91  13 100  72  34 109 107  39  62  32 167  56  39 161  95
 156  95 156  95 156  95 156  95 156  95 156  84 156 117]",[130 107 130 145 117  91 143 144]
149,"[153 169 153 169  57 169 100 100 100 100 100 100 100 100  10 153  26 153
 153  26 153 121 121  10 169 100 100 100 100 100 100 100]",[ 10 153  26 153 153  26 153   7]
150,"[171  97 146 129 171 109  50 146 171  98 113 146 171   8 146 119 171  98
 146 113 171   6  16 146 171  97 129 146 171 167 146  56]",[ 97 146 129 171   6  16 146 171]
151,"[ 62 135 163 117  62 135 163 117  62  91  96 140 111 112 107  13 106  66
  66  66  66  66  66 159 159 159 159 159 159  15  69 112]",[140 111  91  96 140 111  91  96]
152,"[145  62  11 163  29  97  45   6 107  39 111  98 115 125  75  99 164  99
 164  99 164  99 164  99 164  99   3   3   3   3   3   3]",[ 32  98 162  62  32  98 162  72]
153,"[107  91 125 163  11 106  43  11 106 108 162 106  34  11 106 111 117  70
 111  29 145  29 111  29 111  29 145  29 111 117 167 125]",[107 108 163  11 107  11  39 107]
154,"[ 97  39  91 129  39 115  39  11 129  98 162  98 145 129  98 108 163  98
 145 129  62 117  97  62 155  97  62 112  97  62 117 129]",[145  97  62 112  97  62  43  97]
