,x_tr,future
14,"[ 1 29  1 27  2  1 29  1 27  2  1 29  1 27  2  1 29  1 27  2 10 18  1  6
 31  1 10 18  1  6 31  1]",[29  1 27  2  1 29  1 27]
15,"[11 29 21 11 27  2 21 11 29 21 11 27  2 21 11 29 21 11 27  2 21 10 18  1
  6 31  1 10 18  1  6 31]",[29 21 11 27  2 21 11 29]
16,"[ 0  0  0  0 21 31 21 32 21 32 16 16 21 31 21 32 21 32 21 31 21 32 32 31
 32 32 31 32 32 31 32 21]",[ 0  0  0 21 31 21 32 21]
17,"[18  2 27 18  2 27 18  2 27 18 13 27 18 13 27 18 13 27 18 13 27 14 18  1
 27 14 18  1 27 14 18  1]",[ 2 27 18  2 27 18  2 27]
18,"[22  7  2 13  1 29 23  4  4  8  8  8  8  8  8  8  8  8  2 10 11 29  6 25
 25 14 14  2 13  1 29 15]",[ 7  2 13  1 29 23  4  4]
19,"[12 33 33 33 33 33 12 33 12 12 12 33 12 12 33 23 33 33 33 33 20  9 33 12
 10  6  5  6  9  6 20  6]",[33 33 33 33 33 12 33 12]
20,"[25  0 17  8  4 25 17  0 28  4 25 17 25  0 17  8  4 25 17  0  0 29 29 29
 29 29 29 29 29 29 29 29]",[ 0 17  8  4 25 17  0 28]
21,"[ 4  0  8 29  6 28  7  2 24 29 20 29  1 24  1 24  2 28  7 20 20 28  7 20
 27 29  1  1 29  1  1 29]",[ 0  8 29  6 28  7  2 24]
22,"[10 15 13  6 10 29  2  1  7 28 29 20  1  6 10 15 13  6 10 29  2  1  7 28
 29 20  1 33  6 10  5 28]",[15 13  6 10 29  2  1  7]
23,"[13 10 10 10 23 26 25  1  4  1  1 10 13 11 13 11  4  1  2  4  1 23  1  1
 24 10 13 10  1 23 29 12]",[10 10 10 23 26 25  1  4]
24,"[11 27  3 33 11 27 10 21 11 27 29 33 11 27 13 21 11 31 29 22 11 31 13 21
 11 31 22 11 31  7  2 24]",[27  3 33 11 27 10 21 11]
25,"[18  2 27 18 13 27 18 13 27 18 13 27 18 13 27 14 18  1 27 14 18  1 27 14
 18  1 27 14 18  1 27 18]",[ 2 27 18 13 27 18 13 27]
26,"[ 2 27 18  2 27 18  2 27 18 13 27 18 13 27 18 13 27 18 13 27 14 18  1 27
 14 18  1 27 14 18  1 27]",[27 18  2 27 18  2 27 18]
27,"[ 8  0  8  8  8  8  8  8  8  2 10 11 29  6 25 25 14 14 14  2 13  1 29 15
 20 14 12 26 13  3 15 14]",[0 8 8 8 8 8 8 8]
28,"[13  5  5 13  5 30  5 15 13  5 29  5  5  3  5 15  5 29  5  5  5  5 28  5
 11  5 29  5  3  5 15  5]",[ 5  5 13  5 30  5 15 13]
29,"[27 13 21 11 31 29 22 11 31 13 21 11 31 22 11 31 13 21 11 31  1 22 11 31
 13 21 11 31 22 11 31 23]",[13 21 11 31 29 22 11 31]
30,"[ 3 10 11  3 25 10 11  3 31 10 11  3 10 11  3 25 26 13 23  3  4 26 13  3
 12 22 26 23 19 26  4 31]",[10 11  3 25 10 11  3 31]
31,"[ 6 15  6  3  9 33  9  9  9 33  9  9  9 23 33 12 33 33 33 33 33 12 33 12
 12 12 33 12 12 33 23 33]",[15  6  3  9 33  9  9  9]
32,"[25 16 25  8  8 17  0 17  0 23  4 29 33 27 11 19 10  2 29 33 11 19 10  2
 31 11 19 26  3 22 27 11]",[16 25  8  8 17  0 17  0]
33,"[14  4  0  8 11 29  6 28 21 19 30 25 14  4  0  8 29  6 28  7  2 24 29 20
 29  1 24  1 24  2 28  7]",[ 4  0  8 11 29  6 28 21]
34,"[ 1 13 29 20 20  2 26  2  7 22 15  2  1 28  1 20 15 29 15 13 20 28 27 31
 33 22  0 27 22 29  3  6]",[13 29 20 20  2 26  2  7]
35,"[ 4 23 23 23 14 12 25  8 13  3 15 17 14 14 25  8  4 17 17 23 12 12  8 27
 31 33 22 19  7 17 17 17]",[23 23 23 14 12 25  8 13]
36,"[13 21 11 31 22 11 31 23 27  6  6  6  6 15  6  3  9 33  9  9  9 33  9  9
  9 23 33 12 33 33 33 33]",[21 11 31 22 11 31 23 27]
37,"[ 8  9 17 17 17  9  9  4 25 17 28 28 17 17 17 17 17  8 25  8  8  4 25 28
 28 17  4 17  9 17  9  4]",[ 9 17 17 17  9  9  4 25]
38,"[21 32 21 32 21 18 16 16 18 21 18 32 21 32 21 18 16 16 18 21 18 32 21 32
  0 21 18 16 16 18 21 18]",[32 21 32 21 18 16 16 18]
39,"[22 27 11 19 15 26  3 22 11 19 15 26 29 33 11 19  6  2 11  0  8  0  0  0
  0 27  2 27  0  2 27  2]",[27 11 19 15 26  3 22 11]
40,"[ 9  8  8  8  8 17 17  0  0 25  0 17  0  8  9  4 25 17  0  8 25  0 17  0
  8  9  4 25 17 25  0 17]",[ 8  8  8  8 17 17  0  0]
41,"[11 31 22 11 31 13 21 11 31  1 22 11 31 13 21 11 31 22 11 31 23 27  6  6
  6  6 15  6  3  9 33  9]",[31 22 11 31 13 21 11 31]
42,"[19  6  2 31 11 19  3  3 22 27 11 19 15 26  3 22 11 19 15 26 29 33 11 19
  6  2 11  0  8  0  0  0]",[ 6  2 31 11 19  3  3 22]
43,"[16 25  8  8 17  0 17  0 23  4 29 33 27 11 19 10  2 29 33 11 19 10  2 31
 11 19 26  3 22 27 11 19]",[25  8  8 17  0 17  0 23]
44,"[ 7 13 26 13 23  7 11 30 11 23 20 25  3  3  4  5  1 26 20 25  1 24 28 17
 29  8 17  3 11  9 22 26]",[13 26 13 23  7 11 30 11]
45,"[ 2 24  3 24 15  2 24  5 24  2 24 24 15  2 24  5 24  2 24 20 24 28 30 24
 11 24 30 24 24 30 24 15]",[24  3 24 15  2 24  5 24]
46,"[18 21 19 21 19 19 19 19 19 19 19 19 19 19 19 29 27 11 19 24  2 29 11 19
 24  2 31 11 19 26  3 22]",[21 19 21 19 19 19 19 19]
47,"[27  2  1 29  1 27  2  1 29  1 27  2  1 29  1 27  2 10 18  1  6 31  1 10
 18  1  6 31  1 10 18  1]",[ 2  1 29  1 27  2  1 29]
48,"[ 1 26 20 25  1 24 28 17 29  8 17  3 11 12 20 20  9  6  1  9 23 12  6 15
  9 28 15  3 29  5 11 13]",[26 20 25  1 24 28 17 29]
49,"[29 33 11 19 10  2 29 33 11 19 10  2 16 16  0  0  0  0  0  0 16 16 16 16
 29 33 27 11 19  6  2 29]",[33 11 19 10  2 29 33 11]
50,"[26  8 10  8 11  3 17 11  3 31 11  3 11  3 17 13  1  3 13  1  3 31 13  1
  3 13  1  3 10 11  3 25]",[ 8 10  8 11  3 17 11  3]
51,"[13 11  4  1  2  4  1 23  1  1 24 10 13 10  1 23 29 12 23  2  4 12  8  7
 23  8 10 33 24 10 13 10]",[11  4  1  2  4  1 23  1]
52,"[ 8 13  3 15 17 14 14 25  8  4 17 17 23  4 25 25 12 12 12 12 28 20 12 15
  6 12  3 12  1  4 11 23]",[13  3 15 17 14 14 25  8]
53,"[ 1 29 15 20  4 23 23 23 14 12 25  8 13  3 15 17 14 14 25  8  4 17 17 23
 12 12  8 27 31 33 22 19]",[29 15 20  4 23 23 23 14]
54,"[ 1 24  1 24  2 28  7 20 20 28  7 20 27 29  1  1 29  1  1 29  1  1 29  1
  1 29  1 11 29 21 11 27]",[24  1 24  2 28  7 20 20]
55,"[16 16 16 16 16  5 13 13 24 15 30 24 15 30 24 13  5 16 16 16 16 16 16 16
 25 16 25 27 31 27 31 33]",[16 16 16 16  5 13 13 24]
56,"[11 31 13 21 11 31 22 11 31 23 27  6  6  6  6 15  6  3  9 33  9  9  9 33
  9  9  9 23 33 12 33 33]",[31 13 21 11 31 22 11 31]
57,"[11 19 10  2 16 16  0  0  0  0  0  0 16 16 16 16 29 33 27 11 19  6  2 29
 33 11 19  6  2 31 11 19]",[19 10  2 16 16  0  0  0]
58,"[ 0 17  8  4 25 17  0  0 29 29 29 29 29 29 29 29 29 29 29 17 12  9 12  9
 18 31 27 18 31 27  9  9]",[17  8  4 25 17  0  0 29]
59,"[27 22 27 31 33 22  0 27 22 16 19 16 19  2  2  0  0 14 20 20 15  3 15  3
  1  1  7  7 33  7 15  7]",[22 27 31 33 22  0 27 22]
60,"[13 29 20 20  2 26  2  7 22 15  2  1 28  1 20 15 29 15 13 20 28 27 31 33
 22  0 27 22 29  3  6 15]",[29 20 20  2 26  2  7 22]
61,"[ 3 31 11  3 11  3 17 13  1  3 13  1  3 31 13  1  3 13  1  3 10 11  3 25
 10 11  3 31 10 11  3 10]",[31 11  3 11  3 17 13  1]
62,"[15 12 32 18 12 21 12 12 31 33 22 19 12  7 12 30 26 12 24 11  1  8 24 11
  1 31 24 11  1 24 11  1]",[12 32 18 12 21 12 12 31]
63,"[13 24 15 30 24 15 30 24 13  5 16 16 16 16 16 16 16 25 16 25 27 31 27 31
 33 22 33 22 19 19  2  2]",[24 15 30 24 15 30 24 13]
64,"[28 27 31 33 22  0 27 22 29  3  6 15 29  0 15 25 16 25  8  8 17  0 17  0
 23  4 29 33 27 11 19 10]",[27 31 33 22  0 27 22 29]
65,"[17 23  4 25 25 12 12 12 12 28 20 12 15  6 12  3 12  1  4 11 23  1 11  1
 11  1 11 23 23 23 23 20]",[23  4 25 25 12 12 12 12]
66,"[25 19 26  4 26  4  7 13 26 13 23  7 11 30 11 22 26  7 26 25 19 26  4 26
  4  7 13 26 13 23  7 11]",[19 26  4 26  4  7 13 26]
67,"[11 19  6  2 11  0  8  0  0  0  0 21 31 21 32 21 32 16 16 21 31 21 32 21
 32 21 31 21 32 32 31 32]",[19  6  2 11  0  8  0  0]
68,"[29 28  1 20 29 28  1 20 29  2 29 26  2  7 29 22  2 29  1  1 29 29 13 29
 29  3 29  1 13 29 20 20]",[28  1 20 29 28  1 20 29]
69,"[24  2 29 11 19 24  2 16 16 16 16 16 16 29 33 27 11 19  6  2 29 33 11 19
  6  2 31 11 19  3  3 22]",[ 2 29 11 19 24  2 16 16]
70,"[ 6  1 12  6 15 23 20  4 20  3 17  6 20 15 12 32 18 12 21 12 12 31 33 22
 19 12  7 12 30 26 12 24]",[ 1 12  6 15 23 20  4 20]
71,"[29 28  1 20 29 28  1 20 29 28  1 20 29 28  1 20 29 28  1 20 29  2 29 26
  2  7 29 22  2 29  1  1]",[28  1 20 29 28  1 20 29]
72,"[30 24 13  5 16 16 16 16 16 16 16 25 16 25 27 31 27 31 33 22 33 22 19 19
  2  2 14  9  9 27 27 22]",[24 13  5 16 16 16 16 16]
73,"[13  1  3 13  1  3 10 11  3 25 10 11  3 31 10 11  3 10 11  3 25 26 13 23
  3  4 26 13  3 12 22 26]",[ 1  3 13  1  3 10 11  3]
74,"[20 27 29  1  1 29  1  1 29  1  1 29  1  1 29  1  1 29  1 27  2  1 29  1
 27  2  1 29  1 27  2  1]",[27 29  1  1 29  1  1 29]
75,"[13 21 11 31 22 11 31 13 21 11 31  1 22 11 31 13 21 11 31 22 11 31 23 27
  6  6  6  6 15  6  3  9]",[21 11 31 22 11 31 13 21]
76,"[11  9 13 26 13 12 13 26 13 12 22 26 23 19 26  4 31 26 25 33 26 22 26  7
 26 25 19 26  4 26  4  7]",[ 9 13 26 13 12 13 26 13]
77,"[28 29 20  1  6 10 15 13  6 10 29  2  1  7 28 29 20  1 33  6 10  5 28  1
 20 29 33  6 10  5 28  1]",[29 20  1  6 10 15 13  6]
78,"[29 27 11 19 24  2 29 11 19 24  2 31 11 19 26  3 22 27 11 19 13 26  3 22
 11 19 13 26 29 11 19 24]",[27 11 19 24  2 29 11 19]
79,"[27 22 16 19 16 19  2  2  0  0 14 29  2  3 26 29  2  1  7 13 22 29  2 20
  1 20  1 15 13 29  1 13]",[22 16 19 16 19  2  2  0]
80,"[29 33  6 10  5 28  1 20 29 33  6 10 33 28  1 20 29 28  1 20 29 28  1 20
 29 28  1 20 29 28  1 20]",[33  6 10  5 28  1 20 29]
81,"[ 0  0 27  2 27 27  0 27 27 27 27 27 27 27 27 27 27  0  0 27 27 27 27 27
  3 27 27 27 29 27  3  3]",[ 0 27  2 27 27  0 27 27]
82,"[11 27  2 21 11 29 21 11 27  2 21 11 29 21 11 27  2 21 11 29 21 11 27  2
 21 10 18  1  6 31  1 10]",[27  2 21 11 29 21 11 27]
83,"[21 11 27  3 33 11 27 10 21 11 27  3 33 11 27 10 21 11 27  3 33 11 27 10
 21 11 27 29 33 11 27 13]",[11 27  3 33 11 27 10 21]
84,"[28  1 20 29 28  1 20 29 28  1 20 29 28  1 20 29 28  1 20 29  2 29 26  2
  7 29 22  2 29  1  1 29]",[ 1 20 29 28  1 20 29 28]
85,"[15 20  4 23 23 23 14 12 25  8  2 13  1 29 15 20  4 23 23 23 14 12 25  8
 13  3 15 17 14 14 25  8]",[20  4 23 23 23 14 12 25]
86,"[ 2 29 33 11 19 10  2 31 11 19 26  3 22 27 11 19 13 26  3 22 11 19 13 26
 29 33 11 19 10  2 29 33]",[29 33 11 19 10  2 31 11]
87,"[29 33 11 19 10  2 31 11 19 26  3 22 27 11 19 13 26  3 22 11 19 13 26 29
 33 11 19 10  2 29 33 11]",[33 11 19 10  2 31 11 19]
88,"[12 31 33 22 19 12  7 12 30 26 12 24 11  1  8 24 11  1 31 24 11  1 24 11
  1  8 21  8 27  8 31 33]",[31 33 22 19 12  7 12 30]
89,"[13  1 29 23  4  4  8  8  0  8  8  8  8  8  8  8  2 10 11 29  6 25 25 14
 14 14  2 13  1 29 15 20]",[ 1 29 23  4  4  8  8  0]
90,"[ 7 11 30 11 23 20 25  3  3  4  5  1 26 20 25  1 24 28 17 29  8 17  3 11
 12 20 20  9  6  1  9 23]",[11 30 11 23 20 25  3  3]
91,"[26 25 33 26 22 26  7 26 25 19 26  4 26  4  7 13 26 13 23  7 11 30 11 23
 20 25  3  3  4  5  1 26]",[25 33 26 22 26  7 26 25]
92,"[13 29 29  3 29  1 13 29 20 20  2 26  2  7 22 15  2  1 28  1 20 15 29 15
 13 20 28 27 31 33 22  0]",[29 29  3 29  1 13 29 20]
93,"[13 29  1 13  2 13  1 29 27 31 33 22  0 27 22 27 31 33 22  0 27 22 16 19
 16 19  2  2  0  0 14 20]",[29  1 13  2 13  1 29 27]
94,"[32 21 18 16 16 18 21 18 32 21 32  0 21 18 16 16 18 21 18 21 19 21 19 19
 19 19 19 19 19 19 19 19]",[21 18 16 16 18 21 18 32]
95,"[33 11 19 10  2 31 11 19 26  3 22 27 11 19 13 26  3 22 11 19 13 26 29 33
 11 19 10  2 29 33 11 19]",[11 19 10  2 31 11 19 26]
96,"[ 8  8  8  8  8  8  8  8  2 10 11 29  6 25 25 14 14  2 13  1 29 15 20  4
 23 23 23 14 12 25  8  2]",[8 8 8 8 8 8 8 2]
97,"[ 9 30 22  8  9 24 30  5 13  5  5 13  5 30  5 15 13  5 29  5  5 30  5 13
  5  5 13  5 30  5 15 13]",[30 22  8  9 24 30  5 13]
98,"[31 21 32 21 32 21 18 16 16 18 21 18 32 21 32 21 18 16 16 18 21 18 32 21
 32  0 21 18 16 16 18 21]",[21 32 21 32 21 18 16 16]
99,"[20 27 14 18 20 27 18 28 27 18 28 27 14 14 14 14 14 14 29  1 13  2  7 22
 23  4  4 25  8  8  8  8]",[27 14 18 20 27 18 28 27]
100,"[ 1 29 23  4  4  8  8  0  8  8  8  8  8  8  8  2 10 11 29  6 25 25 14 14
 14  2 13  1 29 15 20 14]",[29 23  4  4  8  8  0  8]
101,"[23 23 23 14 12 25  8 13  3 15 17 14 14 25  8  4 17 17 23 12 12  8 27 31
 33 22 19  7 17 17 17 17]",[23 23 14 12 25  8 13  3]
102,"[ 1  6 31  1 26 18  1  3 31  1 10 21 11 27  3 33 11 27 10 21 11 27 29 33
 11 27 13 21 11 31 29 22]",[ 6 31  1 26 18  1  3 31]
103,"[28  1 20 29 28  1 20 29 28  1 20 29 28  1 20 29 28  1 20 29 28  1 20 29
  2 29 26  2  7 29 22  2]",[ 1 20 29 28  1 20 29 28]
104,"[33 28  1 20 29 28  1 20 29 28  1 20 29 28  1 20 29 28  1 20 29 28  1 20
 29  2 29 26  2  7 29 22]",[28  1 20 29 28  1 20 29]
105,"[ 0 21 31 21 32 21 32 16 16 21 31 21 32 21 32 21 31 21 32 32 31 32 32 31
 32 32 31 32 21 32 21 31]",[21 31 21 32 21 32 16 16]
106,"[11 12 20 20  9  6  1  9 23 12  6 15  9 28 15  3 29  5 11 13 24 30 26 24
 13 24 26 24 13 24 26 13]",[12 20 20  9  6  1  9 23]
107,"[ 4 14  9  9  9  8  8 28  8  8  8  8  8  9 17 17 17  9  9  4 25 17 28 28
 17 17 17 17 17  8 25  8]",[14  9  9  9  8  8 28  8]
108,"[12 22 26 23 19 26  4 31 26 25 33 26 22 26  7 26 25 19 26  4 26  4  7 13
 26 13 23  7 11 30 11 23]",[22 26 23 19 26  4 31 26]
109,"[ 5 16 16 16 16 16 16 16 25 16 25 27 31 27 31 33 22 33 22 19 19  2  2 14
  9  9 27 27 22 19 22 19]",[16 16 16 16 16 16 16 25]
110,"[ 0  8  0  0  0  0 29 33 27 11 19 10  2 29 33 11 19 10  2 31 11 19 26  3
 22 27 11 19 13 26  3 22]",[ 8  0  0  0  0 29 33 27]
111,"[11 19 24  2 31 11 19 26  3 22 27 11 19 13 26  3 22 11 19 13 26 29 11 19
 24  2 29 11 19 24  2 16]",[19 24  2 31 11 19 26  3]
112,"[17  9 17  9  4 23  4  4  8  8  4 12  4  9  4  8  4  9  9  9  8  8  8  8
 17 17  0  0 25  0 17  0]",[ 9 17  9  4 23  4  4  8]
113,"[21 19 19 19 19 19 19 19 19 19 19 19 29 27 11 19 24  2 29 11 19 24  2 31
 11 19 26  3 22 27 11 19]",[19 19 19 19 19 19 19 19]
114,"[21 12 12 31 33 22 19 12  7 12 30 26 12 24 11  1  8 24 11  1 31 24 11  1
 24 11  1  8 21  8 27  8]",[12 12 31 33 22 19 12  7]
115,"[32 21 18 16 16 18 21 18 32 21 32 21 18 16 16 18 21 18 32 21 32  0 21 18
 16 16 18 21 18 21 19 21]",[21 18 16 16 18 21 18 32]
116,"[11 19 24  2 16 16 16 16 16 16 29 33 27 11 19  6  2 29 33 11 19  6  2 31
 11 19  3  3 22 27 11 19]",[19 24  2 16 16 16 16 16]
117,"[21 11 31 29 22 11 31 13 21 11 31 22 11 31  7  2 24 29 20 29  1 24  1 24
  2 28  7 20 20 28  7 20]",[11 31 29 22 11 31 13 21]
118,"[26 13 23  7 11 30 11 23 20 25  3  3  4  5  1 26 20 25  1 24 28 17 29  8
 17  3 11  9 22 26  7 26]",[13 23  7 11 30 11 23 20]
119,"[29 28  1 20 29  2 29 26  2  7 29 22  2 29  1  1 29 29 13 29 29  3 29  1
 13 29 20 20  2 26  2  7]",[28  1 20 29  2 29 26  2]
120,"[ 6 10  5 28  1 20 29 33  6 10  5 28  1 20 29 33  6 10 33 28  1 20 29 28
  1 20 29 28  1 20 29 28]",[10  5 28  1 20 29 33  6]
121,"[27 31 33 22  0 27 22 29  3  6 15 29  0 15 25 16 25  8  8 17  0 17  0 23
  4 20 20 15  3 15  3  1]",[31 33 22  0 27 22 29  3]
122,"[26 12 23 27  4 12  8 23  8 23 23 23 23 23 23 30 23 25 23 12  9  6  3  9
 12  1  5 23 12  9  3 21]",[12 23 27  4 12  8 23  8]
123,"[24 15 30 24 13  5 16 16 16 16 16 16 16 25 16 25 27 31 27 31 33 22 33 22
 19 19  2  2 14  9  9 27]",[15 30 24 13  5 16 16 16]
124,"[13 27 18 13 27 18 13 27 18 13 27 14 18  1 27 14 18  1 27 14 18  1 27 14
 18  1 27 18 29 27 18 29]",[27 18 13 27 18 13 27 18]
125,"[28  7 20 27 29  1  1 29  1  1 29  1  1 29  1  1 29  1  1 29  1 27  2  1
 29  1 27  2  1 29  1 27]",[ 7 20 27 29  1  1 29  1]
126,"[33 11 19 10  2 16 16  0  0  0  0  0  0 16 16 16 16 29 33 27 11 19  6  2
 29 33 11 19  6  2 31 11]",[11 19 10  2 16 16  0  0]
127,"[ 2  0  0 27  2 27 27  0 27 27 27 27 27 27 27 27 27 27  0  0 27 27 27 27
 27  3 27 27 27 29 27  3]",[ 0  0 27  2 27 27  0 27]
128,"[ 8  0  0  0  0 21 31 21 32 21 32 16 16 21 31 21 32 21 32 21 31 21 32 32
 31 32 32 31 32 32 31 32]",[ 0  0  0  0 21 31 21 32]
129,"[15  6  3  6  6 10 15 13  6 10 29  2  1  7 28 29 20  1  6 10 15 13  6 10
 29  2  1  7 28 29 20  1]",[ 6  3  6  6 10 15 13  6]
130,"[21 32 21 31 21 32 32 31 32 32 31 32 32 31 32 21 32 21 31 21 32 21 32 21
 31 21 32 21 16 32 31 32]",[32 21 31 21 32 32 31 32]
131,"[29  3 29  1 13 29 20 20  2 26  2  7 22 15  2  1 28  1 20 15 29 15 13 20
 28 27 31 33 22  0 27 22]",[ 3 29  1 13 29 20 20  2]
132,"[15  2 24  5 24  2 24 24 15  2 24  5 24  2 24 20 24 28 30 24 11 24 30 24
 24 30 24 15 11 24 30 24]",[ 2 24  5 24  2 24 24 15]
133,"[11 29 21 11 27  2 21 10 18  1  6 31  1 10 18  1  6 31  1 10 18  1  6 31
  1 26 18  1  3 31  1 10]",[29 21 11 27  2 21 10 18]
134,"[ 2 13 29  6 20 15  6  3  6  6 10 15 13  6 10 29  2  1  7 28 29 20  1  6
 10 15 13  6 10 29  2  1]",[13 29  6 20 15  6  3  6]
135,"[32 31 32 21 32 21 31 21 32 21 32 21 31 21 32 21 16 32 31 32 32 21 31 21
 32 21 32 21 31 21 32 21]",[31 32 21 32 21 31 21 32]
136,"[20  3 17  6 20 15 12 32 18 12 21 12 12 31 33 22 19 12  7 12 30 26 12 24
 11  1  8 24 11  1 31 24]",[ 3 17  6 20 15 12 32 18]
137,"[ 8  8  8  8  9 17 17 17  9  9  4 25 17 28 28 17 17 17 17 17  8 25  8  8
  4 25 28 28 17  4 17  9]",[ 8  8  8  9 17 17 17  9]
138,"[ 1 29 15 20  4 23 23 23 14 12 25  8 13  3 15 17 14 14 25  8  4 17 17 23
  4 25 25 12 12 12 12 28]",[29 15 20  4 23 23 23 14]
139,"[32 16 16 21 31 21 32 21 32 21 31 21 32 32 31 32 32 31 32 32 31 32 21 32
 21 31 21 32 21 32 21 31]",[16 16 21 31 21 32 21 32]
140,"[27  0  0 27 27 27 27 27  3 27 27 27 29 27  3  3 29 29  2  3 26 29  2  1
  7 13 22 29  2 20  1 20]",[ 0  0 27 27 27 27 27  3]
141,"[17  2 10 25 10 23  2 10  8 22  2 17  2 13  2  2  2  2  2  8  2 22  4 30
 22  4 24 22  9 30 22  8]",[ 2 10 25 10 23  2 10  8]
142,"[10 13 10 26 12 23 27  4 12  8 23  8 23 23 23 23 23 23 30 23 25 23 12  9
  6  3  9 12  1  5 23 12]",[13 10 26 12 23 27  4 12]
143,"[10 10 10 12 10 12 12 12 10 12 12  2  4 10 23 10 10 24 10 13 10 10 10 23
 26 25  1  4  1  1 10 13]",[10 10 12 10 12 12 12 10]
144,"[31 21 32 21 32 21 31 21 32 21 16 32 31 32 32 21 31 21 32 21 32 21 31 21
 32 21 32 21 18 16 16 18]",[21 32 21 32 21 31 21 32]
145,"[19 15 26 29 33 11 19  6  2 11  0  8  0  0  0  0 27  2 27  0  2 27  2 27
  2 27 27  2 27  2 27  2]",[15 26 29 33 11 19  6  2]
146,"[ 9  9  7 10  9  9  9 23 10 12 10 10 24 10 10 10 10 12 10 12 12 12 10 12
 12  2  4 10 23 10 10 24]",[ 9  7 10  9  9  9 23 10]
147,"[ 8  8  8  8  8  2 10 11 29  6 25 25 14 14  2 13  1 29 15 20  4 23 23 23
 14 12 25  8  2 13  1 29]",[ 8  8  8  8  2 10 11 29]
148,"[31 21 32 21 32 21 18 16 16 18 21 18 32 21 32 21 18 16 16 18 21 18 32 21
 32  0 21 18 16 16 18 21]",[21 32 21 32 21 18 16 16]
149,"[20 15  3 15  3  1  1  7  7 33  7 15  7  6  7  2 13 29  6 20 15  6  3  6
  6 10 15 13  6 10 29  2]",[15  3 15  3  1  1  7  7]
150,"[19  6  2 11  0  8  0  0  0  0 27  2 27  0  2 27  2 27  2 27 27  2 27  2
 27  2  0  0 27  2 27 27]",[ 6  2 11  0  8  0  0  0]
151,"[26  7 26 25 19 26  4 26  4  7 13 26 13 23  7 11 30 11 23 20 25  3  3  4
  5  1 26 20 25  1 24 28]",[ 7 26 25 19 26  4 26  4]
152,"[24 24 30 24 15 11 24 30 24 12 24  4  2 24  5 24  2 24 24  4  2 24 25  5
 24  2 24 12 24  4  2 24]",[24 30 24 15 11 24 30 24]
153,"[33 22  0 27 22 16 19 16 19  2  2  0  0 14 29  2  3 26 29  2  1  7 13 22
 29  2 20  1 20  1 15 13]",[22  0 27 22 16 19 16 19]
154,"[ 7 13 26 13 23  7 11 30 11 22 26  7 26 25 19 26  4 26  4  7 13 26 13 23
  7 11 30 11 23 20 25  3]",[13 26 13 23  7 11 30 11]
155,"[ 4  0  8 11 29  6 28 21 19 30 25 14  4  0  8 29  6 28  7  2 24 29 20 29
  1 24  1 24  2 28  7 20]",[ 0  8 11 29  6 28 21 19]
